### Alberto Saldana-Lopez (UniGE)
# 2023/01/27 13:50:26
#
# --------------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# --------------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# plot_mode   --> yes
# ssp_models  --> sb99
# Zarray      --> ['001', '004', '008', '02']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# 
### outputs ### 
# norm_factor --> 6.972483143908366e-19
# arrays      --> wave(A), Flux.OBS, Flux.ERR, Flux.FIT, Flux.FITerr 
# 
# 
# wave(A)     Flux.OBS      Flux.ERR      Flux.FIT      Flux.FITerr 
+1.31255e+03  +1.23088e+00  +1.52020e-01  +1.05017e+00  +1.05182e-02
+1.31311e+03  +1.03556e+00  +1.52205e-01  +1.06255e+00  +1.07105e-02
+1.31366e+03  +1.06354e+00  +1.52553e-01  +1.06540e+00  +1.12555e-02
+1.31422e+03  +8.75986e-01  +1.52961e-01  +1.06067e+00  +1.14476e-02
+1.31477e+03  +1.08196e+00  +1.54083e-01  +1.05712e+00  +1.14188e-02
+1.31532e+03  +1.11811e+00  +1.55291e-01  +1.05712e+00  +1.12263e-02
+1.31588e+03  +1.00738e+00  +1.55680e-01  +1.05758e+00  +1.10361e-02
+1.31643e+03  +1.16758e+00  +1.57396e-01  +1.06043e+00  +1.12075e-02
+1.31699e+03  +1.12746e+00  +1.57822e-01  +1.06290e+00  +1.16890e-02
+1.31754e+03  +1.12073e+00  +1.58237e-01  +1.05919e+00  +1.19180e-02
+1.31810e+03  +7.20436e-01  +1.57643e-01  +1.05036e+00  +1.13406e-02
+1.31865e+03  +1.03045e+00  +1.55913e-01  +1.04497e+00  +1.05765e-02
+1.31920e+03  +8.42582e-01  +1.54724e-01  +1.04419e+00  +1.03501e-02
+1.31976e+03  +9.63087e-01  +1.53128e-01  +1.04025e+00  +1.08162e-02
+1.32031e+03  +1.11156e+00  +1.52225e-01  +1.03124e+00  +1.21063e-02
+1.32087e+03  +1.04168e+00  +1.50502e-01  +1.02323e+00  +1.28840e-02
+1.32142e+03  +1.17371e+00  +1.49381e-01  +1.02691e+00  +1.27736e-02
+1.32198e+03  +1.04352e+00  +1.47971e-01  +1.04459e+00  +1.22785e-02
+1.32253e+03  +1.15644e+00  +1.47924e-01  +1.05531e+00  +1.15857e-02
+1.32309e+03  +1.27364e+00  +1.46573e-01  +1.05469e+00  +1.08425e-02
+1.32364e+03  +1.12022e+00  +1.46166e-01  +1.05091e+00  +1.04764e-02
+1.32419e+03  +1.05813e+00  +1.45800e-01  +1.04601e+00  +1.00924e-02
+1.32475e+03  +9.17339e-01  +1.45785e-01  +1.04403e+00  +9.88378e-03
+1.32530e+03  +1.03741e+00  +1.45114e-01  +1.04388e+00  +1.00290e-02
+1.32586e+03  +9.28503e-01  +1.43922e-01  +1.03977e+00  +1.01826e-02
+1.32641e+03  +9.72355e-01  +1.44273e-01  +1.03604e+00  +9.83906e-03
+1.32697e+03  +1.26927e+00  +1.42755e-01  +1.03623e+00  +9.83272e-03
+1.32752e+03  +9.78057e-01  +1.41777e-01  +1.04044e+00  +1.01536e-02
+1.32807e+03  +1.00655e+00  +1.40897e-01  +1.04584e+00  +1.03141e-02
+1.32863e+03  +1.08838e+00  +1.39047e-01  +1.04812e+00  +1.10234e-02
+1.32918e+03  +9.88599e-01  +1.37990e-01  +1.04693e+00  +1.11100e-02
+1.32974e+03  +1.06366e+00  +1.36876e-01  +1.04167e+00  +1.04113e-02
+1.33029e+03  +1.13522e+00  +1.35656e-01  +1.03140e+00  +1.03555e-02
+1.33085e+03  +1.08806e+00  +1.34918e-01  +1.01700e+00  +1.15929e-02
+1.33140e+03  +9.20175e-01  +1.33117e-01  +1.00706e+00  +1.20122e-02
+1.33196e+03  +1.02858e+00  +1.34428e-01  +1.01286e+00  +1.09000e-02
+1.33251e+03  +8.81907e-01  +1.33526e-01  +1.02817e+00  +1.03662e-02
+1.33306e+03  +4.80293e-01  +1.33754e-01  +1.03840e+00  +1.04414e-02
+1.33362e+03  +5.86579e-01  +1.32599e-01  +1.03017e+00  +1.12992e-02
+1.33417e+03  +6.36121e-01  +1.31055e-01  +1.00905e+00  +1.72494e-02
+1.33473e+03  +6.61646e-01  +1.29377e-01  +9.97086e-01  +2.08223e-02
+1.33528e+03  +8.49178e-01  +1.28883e-01  +9.94101e-01  +1.97023e-02
+1.33584e+03  +8.14974e-01  +1.29120e-01  +9.85754e-01  +1.85384e-02
+1.33639e+03  +1.24730e+00  +1.27675e-01  +9.88143e-01  +1.33325e-02
+1.33694e+03  +1.34802e+00  +1.27169e-01  +9.99937e-01  +1.13921e-02
+1.33750e+03  +1.18168e+00  +1.26278e-01  +9.97173e-01  +1.20058e-02
+1.33805e+03  +1.18644e+00  +1.25552e-01  +9.59591e-01  +1.27631e-02
+1.33861e+03  +7.29043e-01  +1.26200e-01  +9.30177e-01  +1.37148e-02
+1.33916e+03  +7.96998e-01  +1.27032e-01  +9.64676e-01  +1.21528e-02
+1.33972e+03  +6.15293e-01  +1.27211e-01  +1.00345e+00  +1.09318e-02
+1.34027e+03  +9.67604e-01  +1.27722e-01  +1.01926e+00  +1.09521e-02
+1.34083e+03  +6.85640e-01  +1.27058e-01  +1.02300e+00  +1.09202e-02
+1.34138e+03  +9.45285e-01  +1.24723e-01  +1.01914e+00  +1.04692e-02
+1.34193e+03  +1.08058e+00  +1.24343e-01  +1.00109e+00  +1.05125e-02
+1.34249e+03  +9.51015e-01  +1.24196e-01  +9.64924e-01  +1.02484e-02
+1.34304e+03  +8.63460e-01  +1.23934e-01  +9.18275e-01  +1.01745e-02
+1.34360e+03  +7.30845e-01  +1.24369e-01  +9.22240e-01  +1.23804e-02
